-41158622.00,-71416221.00,6,126,291022.00,20483600.00
-41158626.00,-71416220.00,6,126,291022.00,20483700.00
-41158627.00,-71416218.00,6,126,291022.00,20483800.00
-41158627.00,-71416221.00,6,126,291022.00,20484000.00
-41158623.00,-71416224.00,6,126,291022.00,20484100.00
-41158626.00,-71416225.00,6,126,291022.00,20484200.00
-41158626.00,-71416225.00,6,126,291022.00,20484300.00
-41158630.00,-71416224.00,6,126,291022.00,20484400.00
-41158630.00,-71416223.00,6,126,291022.00,20484500.00
-41158637.00,-71416219.00,6,126,291022.00,20484600.00
-41158640.00,-71416215.00,6,126,291022.00,20484800.00
-41158636.00,-71416214.00,6,126,291022.00,20484900.00
-41158632.00,-71416213.00,6,126,291022.00,20485000.00
-41158634.00,-71416211.00,6,126,291022.00,20485100.00
-41158627.00,-71416207.00,6,127,291022.00,20485200.00
-41158629.00,-71416207.00,6,127,291022.00,20485300.00
-41158627.00,-71416205.00,6,127,291022.00,20485400.00
-41158630.00,-71416205.00,6,127,291022.00,20485600.00
-41158628.00,-71416205.00,6,127,291022.00,20485700.00
-41158627.00,-71416206.00,6,127,291022.00,20485800.00
-41158630.00,-71416205.00,6,127,291022.00,20485900.00
-41158632.00,-71416206.00,6,127,291022.00,20490000.00
-41158632.00,-71416205.00,6,127,291022.00,20490100.00
-41158634.00,-71416207.00,6,127,291022.00,20490200.00
-41158629.00,-71416208.00,6,127,291022.00,20490300.00
-41158628.00,-71416207.00,6,127,291022.00,20490500.00
-41158634.00,-71416206.00,6,127,291022.00,20490600.00
-41158636.00,-71416204.00,6,127,291022.00,20490700.00
-41158629.00,-71416205.00,6,127,291022.00,20490800.00
-41158636.00,-71416203.00,6,127,291022.00,20490900.00
-41158646.00,-71416202.00,6,127,291022.00,20491000.00
-41158652.00,-71416200.00,6,127,291022.00,20491100.00
-41158658.00,-71416198.00,6,127,291022.00,20491300.00
-41158664.00,-71416197.00,6,127,291022.00,20491400.00
-41158662.00,-71416199.00,6,127,291022.00,20491500.00
-41158650.00,-71416198.00,6,127,291022.00,20491600.00
-41158651.00,-71416199.00,6,127,291022.00,20491700.00
-41158649.00,-71416197.00,6,127,291022.00,20491800.00
-41158651.00,-71416195.00,6,127,291022.00,20491900.00
-41158645.00,-71416196.00,6,127,291022.00,20492000.00
-41158650.00,-71416197.00,6,127,291022.00,20492200.00
-41158645.00,-71416193.00,6,127,291022.00,20492300.00
-41158639.00,-71416191.00,6,127,291022.00,20492400.00
-41158636.00,-71416193.00,6,127,291022.00,20492500.00
-41158634.00,-71416194.00,5,377,291022.00,20492600.00
-41158635.00,-71416196.00,5,377,291022.00,20492700.00
-41158635.00,-71416196.00,5,377,291022.00,20492800.00
-41158635.00,-71416189.00,5,377,291022.00,20493000.00
-41158645.00,-71416194.00,5,377,291022.00,20493100.00
-41158631.00,-71416190.00,6,127,291022.00,20493200.00
-41158618.00,-71416192.00,6,127,291022.00,20493300.00
-41158618.00,-71416197.00,6,127,291022.00,20493400.00
-41158620.00,-71416205.00,6,127,291022.00,20493500.00
-41158625.00,-71416207.00,6,127,291022.00,20493600.00
-41158624.00,-71416206.00,6,127,291022.00,20493700.00
-41158632.00,-71416210.00,6,127,291022.00,20493900.00
-41158634.00,-71416207.00,6,127,291022.00,20494000.00
-41158639.00,-71416205.00,6,127,291022.00,20494100.00
-41158641.00,-71416206.00,5,141,291022.00,20494200.00
-41158635.00,-71416205.00,5,141,291022.00,20494300.00
-41158624.00,-71416198.00,5,141,291022.00,20494400.00
-41158620.00,-71416199.00,5,141,291022.00,20494500.00
-41158616.00,-71416189.00,5,141,291022.00,20494700.00
-41158611.00,-71416185.00,5,141,291022.00,20494800.00
